Appointment_Month,Product,Actual_RGU,Forecasted_RGU,Adjusted_RGU
2025-11-01,WIFI,0,355,355
2025-12-01,WIFI,0,667,667
2025-03-01,POTS,310,581,581
2025-03-01,SECURITY,465,535,535
2025-03-01,WIFI,182,203,203
2025-03-01,WAN L2_L3,65,62,62
2025-03-01,IPTV,359,283,283
2025-03-01,BUSINESS CONNECT,179,4726,213
2025-03-01,NAAS,7,16,16
2025-03-01,SDS WIFI,1227,1540,1540
2025-03-01,MPAAS,65,71,71
2025-03-01,PRIVATE LINE,411,494,494
2025-03-01,BUSINESS INTERNET,102,100,100
2025-03-01,HSIA,2798,3281,3281
2025-03-01,CENTREX,18,34,34
2025-04-01,MPAAS,0,79,79
2025-04-01,NAAS,0,9,9
2025-04-01,WAN L2_L3,0,85,85
2025-04-01,SDS WIFI,0,1338,1338
2025-04-01,BUSINESS INTERNET,0,142,142
2025-04-01,IPTV,0,255,255
2025-04-01,HSIA,0,2737,2737
2025-04-01,PRIVATE LINE,0,492,492
2025-04-01,SECURITY,0,454,454
2025-04-01,WIFI,0,283,283
2025-04-01,POTS,0,400,400
2025-04-01,BUSINESS CONNECT,0,4203,189
2025-05-01,SDS WIFI,0,1621,1621
2025-05-01,BUSINESS CONNECT,0,4794,216
2025-05-01,BUSINESS INTERNET,0,131,131
2025-05-01,MPAAS,0,70,70
2025-05-01,HSIA,0,3406,3406
2025-05-01,WAN L2_L3,0,76,76
2025-05-01,IPTV,0,268,268
2025-05-01,POTS,0,442,442
2025-05-01,PRIVATE LINE,0,532,532
2025-05-01,SECURITY,0,504,504
2025-05-01,NAAS,0,15,15
2025-05-01,WIFI,0,362,362
2025-06-01,WIFI,0,353,353
2025-06-01,SDS WIFI,0,1670,1670
2025-06-01,MPAAS,0,72,72
2025-06-01,HSIA,0,3433,3433
2025-06-01,BUSINESS INTERNET,0,114,114
2025-06-01,BUSINESS CONNECT,0,5103,230
2025-06-01,PRIVATE LINE,0,523,523
2025-06-01,NAAS,0,11,11
2025-06-01,SECURITY,0,502,502
2025-06-01,IPTV,0,203,203
2025-06-01,POTS,0,272,272
2025-06-01,WAN L2_L3,0,78,78
2025-06-01,CENTREX,0,33,33
2025-07-01,WIFI,0,359,359
2025-07-01,HSIA,0,2893,2893
2025-07-01,SDS WIFI,0,1511,1511
